LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
28.47961,77.03421,2019,8,1,8.84,32.88,24.35,24.19,35.91,27.07,31.42
28.47961,77.03421,2019,8,2,7.62,32.02,25.44,25.29,35.39,27.77,30.83
28.47961,77.03421,2019,8,3,4.5,29.79,25.67,25.6,32,27.5,29.42
28.47961,77.03421,2019,8,4,4.99,29.95,25.85,25.78,32,27.01,29.64
28.47961,77.03421,2019,8,5,8.83,32.77,25.81,25.65,36.05,27.23,31.8
28.47961,77.03421,2019,8,6,6.11,31.91,26.34,26.19,34.43,28.32,31.54
28.47961,77.03421,2019,8,7,6.01,30.02,25.83,25.74,33.11,27.1,29.73
28.47961,77.03421,2019,8,8,7.75,30.49,25.37,25.25,34.42,26.67,30.2
28.47961,77.03421,2019,8,9,7,30.14,25.19,25.08,33.73,26.73,29.82
28.47961,77.03421,2019,8,10,7.47,29.66,24.64,24.53,33.11,25.64,29.11
28.47961,77.03421,2019,8,11,9.09,31.59,24.94,24.8,35.37,26.28,30.67
28.47961,77.03421,2019,8,12,7.95,31.5,25.15,25.01,34.31,26.36,30.81
28.47961,77.03421,2019,8,13,8.25,32.12,25.76,25.59,35.95,27.69,31.74
28.47961,77.03421,2019,8,14,6.7,30.96,25.92,25.8,34.35,27.65,30.79
28.47961,77.03421,2019,8,15,6.29,29.41,25.77,25.72,33.11,26.82,29.19
28.47961,77.03421,2019,8,16,5.94,28.65,24.81,24.75,31.65,25.71,28.21
28.47961,77.03421,2019,8,17,6.15,28.23,25.7,25.68,32.05,25.91,28.16
28.47961,77.03421,2019,8,18,6.2,28.16,25.41,25.39,31.61,25.41,28.13
28.47961,77.03421,2019,8,19,9.39,29.3,24.36,24.25,33.88,24.5,29.05
28.47961,77.03421,2019,8,20,8.94,29.16,24.04,23.93,33.74,24.79,28.94
28.47961,77.03421,2019,8,21,11.41,29.83,23.13,22.98,35.84,24.43,29.89
28.47961,77.03421,2019,8,22,10.33,29.75,22.96,22.81,34.89,24.56,29.49
28.47961,77.03421,2019,8,23,9.61,30.71,23.24,23.07,35.29,25.68,30.55
28.47961,77.03421,2019,8,24,10.46,31.72,23.15,22.93,37.31,26.85,31.4
28.47961,77.03421,2019,8,25,5.36,28.86,25.02,24.96,31.43,26.07,28.46
28.47961,77.03421,2019,8,26,7.63,29.44,24.64,24.54,33.37,25.74,29.21
28.47961,77.03421,2019,8,27,9.39,31.27,24.8,24.66,35.26,25.86,30.53
28.47961,77.03421,2019,8,28,9.3,31.43,24.97,24.82,35.67,26.38,30.79
28.47961,77.03421,2019,8,29,8.51,31.28,24.88,24.72,35,26.48,30.74
28.47961,77.03421,2019,8,30,7.39,31.02,25.22,25.08,34.22,26.82,30.59
28.47961,77.03421,2019,8,31,8.37,32.17,25,24.82,35.98,27.62,31.67
28.47961,77.03421,2019,9,1,7.12,30.43,25.82,25.73,34.26,27.14,30.06
28.47961,77.03421,2019,9,2,8.36,31.36,25.53,25.4,34.9,26.54,30.71
28.47961,77.03421,2019,9,3,8.63,32.7,24.99,24.8,36.43,27.8,32.08
28.47961,77.03421,2019,9,4,7.12,31.08,25.68,25.56,34.59,27.48,30.6
28.47961,77.03421,2019,9,5,8.54,31.41,25.2,25.06,35.12,26.58,30.56
28.47961,77.03421,2019,9,6,7.05,31.18,25.33,25.2,34.1,27.04,30.8
28.47961,77.03421,2019,9,7,4.73,29.86,25.95,25.87,32.28,27.55,29.77
28.47961,77.03421,2019,9,8,6.6,30.17,25.57,25.47,33.31,26.71,29.99
28.47961,77.03421,2019,9,9,9.35,31.65,24.29,24.1,36.16,26.81,31.06
28.47961,77.03421,2019,9,10,10.68,31.42,22.67,22.49,36.96,26.28,31.07
28.47961,77.03421,2019,9,11,12.77,31.66,21.41,21.24,37.86,25.08,31.59
28.47961,77.03421,2019,9,12,11.94,31.93,22.31,22.07,38.1,26.17,31.59
28.47961,77.03421,2019,9,13,10.29,31.76,24.36,24.19,36.4,26.11,30.78
28.47961,77.03421,2019,9,14,8.76,31.35,24.27,24.09,35.44,26.69,30.43
28.47961,77.03421,2019,9,15,9.7,31.44,24.08,23.92,35.43,25.73,30.2
28.47961,77.03421,2019,9,16,11.7,31.65,22.69,22.49,37.13,25.43,30.91
28.47961,77.03421,2019,9,17,10.75,31.95,22.49,22.33,36.64,25.89,31.07
28.47961,77.03421,2019,9,18,11.28,31.95,22.38,22.12,37.15,25.87,30.77
28.47961,77.03421,2019,9,19,9.02,29.98,22.61,22.46,33.63,24.61,28.63
28.47961,77.03421,2019,9,20,10.12,30.46,22.55,22.4,34.28,24.16,29.14
28.47961,77.03421,2019,9,21,9.69,30.83,22.95,22.79,34.6,24.91,29.52
28.47961,77.03421,2019,9,22,8.28,28.53,23.57,23.49,32.54,24.26,27.8
28.47961,77.03421,2019,9,23,10.54,28.62,21.59,21.46,32.91,22.38,27.41
28.47961,77.03421,2019,9,24,9.6,28.5,22.47,22.36,32.45,22.84,27.49
28.47961,77.03421,2019,9,25,6.82,27.7,22.99,22.91,30.76,23.94,27.08
28.47961,77.03421,2019,9,26,5.79,26.71,23.08,23.02,29.92,24.13,26.63
28.47961,77.03421,2019,9,27,7.38,27.68,22.94,22.86,31,23.62,27.02
28.47961,77.03421,2019,9,28,6.84,27.23,23.12,23.07,30.96,24.12,26.71
28.47961,77.03421,2019,9,29,7.94,27.65,22.13,22.02,31.37,23.44,26.7
28.47961,77.03421,2019,9,30,8.34,27.32,21.74,21.66,31.11,22.78,26.4
